EB1203,30
EB1204,15
EB1207,70
EB1302,50
EB2202,30
EB2203,20
EB3205-7,120
EB3218,30
EB3303,20
EB3304,20
EB3305,50
EB3311,20
EB3315,40
EB4201,12
EB4202,13
EB4203,13
EB4204,14
EB4205,20
EB4206,20
EB4207,20
EB4208,20
EB4210,80
EB4310,10
EB4311,30
EB4312,30
EB4401,20
EB4402,20
EB4403,20
EB4405,24
EB4406,25
EB4407,25
EB4408,15
EB4501,10
EB4502,10
EB4503,20
EB4504,20
EB 5107,20
EB 5203,20
EB6102,20
EB6103,20
EB6208,35
EB7101,20
EB7102,30
EB7301,30
EB7302,30
EB7401,20
EB7402,15
EB8101,10
EB8105,30
EB8106,40
EB8201A,20
EB8202B,20
EB8202C,20
EB9202,20
EB9203,20
EB9204,20
EB9205,20
EB9206,20
